scorer,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon
individuals,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0
angs,Time,Right ankle,Left ankle,Right knee,Left knee,Right hip,Left hip,Right shoulder,Left shoulder,Right elbow,Left elbow,Right foot,Left foot,Right shank,Left shank,Right thigh,Left thigh,Trunk,Right arm,Left arm,Right forearm,Left forearm
coords,seconds,dorsiflexion,dorsiflexion,flexion,flexion,flexion,flexion,flexion,flexion,flexion,flexion,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal
0,0.0,12.949439967247102,-14.283172078623707,31.32910188543275,118.33647343317443,43.36283508547845,75.07679563331098,69.98766575456818,-65.3128639114264,102.92392073079093,26.39691169199304,-28.154162992687237,-90.90863631748181,-131.10360295993434,-166.6254642388581,-99.77450107450157,-48.28899080568368,133.25156129948732,-73.14967040541183,-188.67865035042107,29.774250325379107,-162.28173865842803
1,0.0332717810614611,9.477114245457813,0.9697857463512349,20.413900967884047,117.76588665572069,34.45523616971724,76.87729133988792,71.17167590209444,-63.74230916886336,106.83931519661195,28.024043009175756,-29.037475379986386,-72.52654719559754,-128.5145896254442,-163.4963329419488,-108.1006886575602,-45.73044628622813,132.58183122669675,-71.384248925183,-186.35004679497942,35.45506627142896,-158.32600378580372
2,0.0665462680310219,7.142580756019868,8.08110484922571,14.154140456055586,116.30590591206209,27.983656381623376,78.50049806925924,72.20251858259613,-62.887973575895785,111.13433845752671,30.409079452329394,-31.173031922243325,-60.936164059894615,-128.3156126782632,-159.01726890912033,-114.16147222220762,-42.71136299705827,131.67849483507428,-69.94261002123488,-184.09983464221327,41.19172843629182,-153.6907551898839
3,0.0998159187726455,7.705318366403304,9.995621367770326,14.651221800252756,113.3254925787657,24.363020875137067,79.72391286651802,72.18913967494512,-62.14992342844448,116.71346199232369,33.08714866025568,-34.30655539521096,-52.56057268153936,-132.01187376161425,-152.55619404930968,-117.36065196136154,-39.23070147054402,130.33914358678032,-69.53453316155348,-181.1045377655065,47.178928830770204,-148.01738910525086
4,0.133086230790888,11.854352392881509,10.285025524820568,18.829464231737575,108.88318492490453,21.53091960631852,80.23492346792933,70.23127311252193,-60.55015772612586,122.89503565742575,35.842261589550304,-36.32288464861074,-44.57141618894514,-138.17723704149228,-144.85644171376572,-119.34777280975469,-35.97325678886127,128.5434363364319,-70.64741930355129,-176.75833798291646,52.24761635387446,-140.91607639336613
5,0.1663577377680623,17.844104803387907,10.593839409959159,21.798606680699436,103.8016668619303,17.771316021583573,79.95161404536849,66.2110229731181,-57.42617955187808,126.48575395051131,38.30141731137854,-35.624561831888506,-36.91244803591736,-143.4686666352764,-137.50628744587652,-121.67005995457701,-33.70462058394622,126.54880530273766,-73.2303530030425,-171.0824141811928,53.25540094746881,-132.7809968698143
6,0.1996295598826784,22.488126575872016,10.951383280916232,22.868013285717836,98.80221465461631,13.783544633792701,79.2107512339598,60.64151552915423,-52.81844562791957,120.02762118546391,40.07440932378066,-34.31253852031151,-30.47338188994851,-146.80066509618354,-131.42476517086476,-123.93265181046574,-32.62255051624848,124.77474909723338,-77.07468091510422,-164.65174737812782,42.9529402703597,-124.57733805434718
7,0.2329012648908592,24.13663959536217,10.867908271516526,24.824124122683315,93.60699444776793,11.181835664316537,78.21657793861817,54.51681414909307,-47.35227343280525,78.67845342003774,41.851404282117954,-35.61387171805847,-25.520387082572206,-149.75051131342065,-126.38829535408874,-124.92638719073733,-32.7813009063208,123.55305084999644,-81.59140870596082,-158.35015227774426,-2.9129552859230525,-116.49874799562632
8,0.2661728644780075,24.10850766136238,10.451009459986679,29.435803034924902,87.22522989372106,10.567401719500083,76.80950564903601,49.12423488246154,-41.849363484238836,27.802507172981677,45.09331139182916,-39.49956855627958,-21.227665577985395,-153.60807621764195,-121.67867503797207,-124.17227318271706,-34.45344514425105,123.0013128477521,-85.61544001975561,-153.11231427752588,-57.812932846773926,-108.01900288569671
